county_name,country_code,black_male_voted,black_male_perc,black_female_voted,black_female_perc,black_un_voted,black_un_perc,white_male_voted,white_male_perc,white_female_voted,white_female_perc,white_un_voted,white_un_perc,asia_male_voted,asia_male_perc,asia_female_voted,asia_female_perc,asia_un_voted,asia_un_perc,hisp_male_voted,hisp_un_perc,hisp_female_voted,hisp_famel_perc,hisp_unknown_voted,hisp_un_perc,natm_male_voted,natm_male_perc,natm_female_voted,natm_female_perc,natm_un_voted,natm_un_perc,other_male_voted,other_male_perc,other_female_voted,other_female_perc,other_un_voted,other_un_perc,unknown_male_voted,unknown_male_perc,unknown_female_voted,unknown_female_perc,unknown_un_voted,unknown_un_perc,total_voted,total_perc
GRADY,065,729,43.94,1345,55.79,3,60,2778,63.89,3137,61.63,1,33.33,7,24.14,8,32,0,0,18,17.14,27,25,0,0,2,25,5,55.56,0,0,10,30.3,20,36.36,0,0,143,31.5,155,37.53,1,50,8389,56.85
GREENE,066,744,49.14,1454,67,1,100,3006,76.24,3184,74.43,0,0,13,40.62,22,56.41,0,0,21,32.81,32,48.48,0,0,0,0,1,50,0,0,17,68,9,34.62,0,0,245,57.38,264,63.92,4,50,9017,69.3
GWINNETT,067,35315,52.64,55588,62.87,254,62.87,71745,62.05,79545,63.14,206,61.31,8535,39.41,8894,39.9,72,43.37,7956,39.76,11860,49.6,82,53.95,221,42.26,249,43.15,3,50,3182,48.13,4373,53.6,46,52.87,12028,38.59,14649,46.03,633,54.57,315436,55.72
HABERSHAM,068,89,38.36,144,50.17,0,0,6736,64.09,7451,62.8,5,45.45,37,24.83,51,31.48,0,0,118,28.1,131,36.29,1,100,6,66.67,4,23.53,0,0,23,35.94,22,38.6,0,0,355,30.71,364,36,3,23.08,15540,59.03
HALL,069,1530,42.67,2662,58.29,2,33.33,24897,62.37,27915,62.6,43,51.19,208,32.7,262,38.03,1,25,1544,34.07,2123,43.64,9,34.62,39,59.09,25,39.06,0,0,217,44.2,260,50.1,0,0,2677,30.88,2937,37.74,31,44.93,67382,55.61
HANCOCK,070,968,52.32,1529,66.89,0,0,469,68.07,458,66.47,0,0,3,75,0,0,0,0,5,50,0,0,0,0,2,100,0,0,0,0,4,50,4,33.33,0,0,38,27.54,65,49.62,0,0,3545,60.84
HARALSON,071,137,39.48,222,52.86,0,0,4631,58.64,5126,57.92,5,41.67,12,26.09,19,39.58,0,0,17,41.46,20,50,0,0,4,44.44,3,23.08,0,0,19,55.88,14,37.84,0,0,186,28.35,196,35.51,3,100,10614,55.85
HARRIS,072,993,59.89,1344,68.71,1,25,6123,67.68,6405,66.15,6,60,29,48.33,53,51.46,1,100,82,49.4,92,45.1,0,0,6,60,4,28.57,0,0,45,50.56,44,45.83,0,0,363,44.87,412,51.24,5,62.5,16008,64.75
HART,073,443,45.11,762,55.22,0,0,3865,67.55,4108,64.09,5,83.33,17,33.33,22,33.85,0,0,22,44.9,19,39.58,0,0,1,50,1,12.5,0,0,12,48,8,44.44,0,0,181,40.22,199,45.54,0,0,9665,61.73
HEARD,074,139,44.27,242,61.73,0,0,1711,61.37,1810,58.67,1,33.33,5,41.67,7,58.33,0,0,6,31.58,9,50,0,0,1,20,4,57.14,0,0,6,50,8,42.11,0,0,65,26.42,52,32.3,0,0,4066,57.32
HENRY,075,16549,56.42,26959,67.72,23,58.97,19766,60.42,22171,61.81,25,56.82,506,37.21,636,40.28,1,20,814,39.48,1163,45.73,1,25,37,43.53,34,48.57,0,0,863,42.68,1307,53.35,1,20,3371,44.47,4471,53.11,33,50.77,98731,59.45
HOUSTON,076,6639,53.73,11089,62.99,23,32.86,17521,62.87,18769,60.58,18,40.91,308,39.64,482,44.63,1,20,378,41.22,525,40.6,2,66.67,29,49.15,27,37.5,2,66.67,228,47.8,293,44.73,1,20,1508,34.35,1522,37.75,23,29.11,59388,57.79
IRWIN,077,247,45.49,481,60.35,0,0,1314,68.26,1432,67.45,1,100,2,22.22,3,37.5,0,0,7,23.33,7,33.33,0,0,0,0,1,100,0,0,3,75,4,57.14,0,0,23,26.44,27,50,2,100,3554,63.32
JACKSON,078,573,46.06,891,60.49,2,100,11052,62.95,12070,62.32,14,58.33,67,25.97,98,35.9,0,0,236,42.45,291,44.98,0,0,6,37.5,6,35.29,0,0,61,44.85,78,50.98,0,0,736,30.77,758,36.25,13,65,26952,58.3
JASPER,079,408,52.44,654,65.07,0,0,2291,64.01,2408,64.23,4,100,5,62.5,6,42.86,0,0,21,37.5,22,44.9,0,0,0,0,3,150,0,0,8,57.14,9,69.23,0,0,41,27.52,48,31.58,0,0,5928,61.92
JEFF DAVIS,080,243,45.08,396,54.55,0,0,1885,61.72,2158,63.34,3,75,3,33.33,3,25,0,0,13,16.46,36,31.03,0,0,0,0,1,50,0,0,1,12.5,8,47.06,0,0,38,20.11,40,23.95,0,0,4828,57.93
JEFFERSON,081,1105,49.18,2126,65.09,4,50,1518,72.81,1667,71.03,2,66.67,2,18.18,5,45.45,0,0,4,25,9,52.94,0,0,1,33.33,2,33.33,0,0,9,56.25,13,61.9,1,100,141,32.64,166,41.81,5,100,6780,62.25
JENKINS,082,328,43.16,589,54.94,0,0,890,65.97,968,65.14,0,0,1,20,1,20,0,0,1,12.5,0,0,0,0,1,100,1,50,0,0,3,60,4,50,0,0,57,23.46,44,26.83,1,100,2889,56.47
JOHNSON,083,283,42.88,584,63.14,0,0,1210,72.41,1351,72.52,1,50,7,70,2,40,0,0,0,0,0,0,0,0,0,0,1,50,0,0,4,66.67,1,100,0,0,16,21.33,27,39.13,0,0,3487,65.84
JONES,084,1239,60.44,1922,71.08,0,0,4292,66.82,4721,66.81,2,28.57,12,44.44,29,56.86,0,0,22,41.51,33,51.56,0,0,9,69.23,7,58.33,0,0,9,32.14,20,60.61,1,100,71,19.83,79,27.43,1,12.5,12469,64.98
LAMAR,085,622,49.48,1052,64.42,0,0,2514,66.25,2738,64.76,2,66.67,10,66.67,6,35.29,0,0,13,35.14,17,38.64,0,0,2,100,4,44.44,0,0,16,51.61,18,46.15,0,0,166,36.56,190,45.35,0,0,7370,61.5
LANIER,086,220,40.52,350,53.44,0,0,932,51.84,999,47.3,1,50,4,30.77,5,25,0,0,11,29.73,17,26.56,0,0,1,20,2,33.33,0,0,5,29.41,7,30.43,0,0,58,30.69,75,40.76,0,0,2687,47.39
LAURENS,087,1935,47.20,3575,59.61,2,33.33,5954,71.23,6754,70.78,6,75,38,45.24,41,41.41,1,100,30,28.04,41,37.96,0,0,2,14.29,8,38.1,0,0,38,45.24,56,50,0,0,225,31.6,263,42.63,3,60,18972,63.29
LEE,088,958,54.40,1519,64.56,1,8.33,4898,62.24,5348,62.13,6,40,49,37.4,58,40.28,1,100,35,32.41,54,39.13,0,0,7,50,5,41.67,0,0,28,35.44,33,52.38,0,0,267,30.24,298,37.11,4,33.33,13569,58.97
LIBERTY,089,3051,46.47,4702,51.34,4,28.57,2679,47.15,2959,44.33,2,66.67,62,26.38,107,30.14,1,100,226,24.94,317,27.37,0,0,8,40,13,28.89,0,0,80,32.26,113,30.05,0,0,486,19.59,589,25.06,3,30,15402,42.45
LINCOLN,090,387,54.51,631,68.44,0,0,1355,70.21,1396,69.21,1,100,2,33.33,4,33.33,0,0,3,42.86,5,62.5,0,0,3,50,3,50,0,0,2,28.57,2,25,0,0,93,44.29,92,47.92,0,0,3979,65.84
LONG,091,378,40.86,590,49.41,0,0,1214,53.62,1253,48.08,1,33.33,13,46.43,29,47.54,0,0,47,24.87,61,27.23,0,0,4,44.44,6,46.15,0,0,23,46,18,29.51,0,0,151,24.92,184,30.07,1,25,3973,44.89
LOWNDES,092,3855,36.37,7247,49.45,0,0,10674,55.25,11844,54.32,6,33.33,112,32.56,178,37.95,0,0,197,27.79,284,32.57,0,0,23,30.26,22,27.5,0,0,201,32.95,298,41.45,0,0,428,26.67,413,27.96,9,30,35791,48.76
LUMPKIN,093,24,27.91,39,43.82,0,0,5130,58.3,5574,57.46,2,50,15,39.47,20,37.74,0,0,37,27.21,79,47.88,0,0,17,38.64,22,64.71,0,0,34,44.74,39,46.43,0,0,281,30.28,268,35.26,7,87.5,11588,55.17
MACON,094,949,52.96,1557,64.26,0,0,793,69.68,807,65.82,0,0,11,31.43,12,44.44,0,0,1,5.88,6,14.63,0,0,0,0,0,0,0,0,3,33.33,5,38.46,0,0,41,27.52,45,40.54,1,50,4231,60.57
MADISON,095,324,47.65,556,66.03,0,0,4784,67.5,5197,65.43,8,57.14,21,42,29,43.28,0,0,41,46.07,60,45.8,0,0,4,57.14,1,12.5,0,0,20,45.45,27,58.7,0,0,315,32.85,332,38.47,4,36.36,11723,62.22
MARION,096,324,46.82,558,64.51,0,0,942,66.24,974,61.68,0,0,3,18.75,6,28.57,0,0,17,41.46,11,28.95,0,0,2,66.67,2,33.33,0,0,10,66.67,9,75,0,0,36,32.73,39,44.83,1,100,2934,59.77
